Code;Genus
AST;Asterionella+Asterionellopsis+Asteroplanus
CHA;Chaetoceros
CRY;Cryptophytes
EUG;Euglenophytes
GUI;Guinardia
GYM;Gymnodiniaceae+Amphidinium+Gyrodinium+Katodinium
LEP;Leptocylindrus
NIT;Ceratoneis+Nitzschia+Hantzschia+Bacillaria
PRP;Protoperidinium+Peridinium
PSE;Pseudo-nitzschia
RHI;Rhizosolenia+Neocalyptrella
SKE;Skeletonema
