Code;Genus
CHA;Chaetoceros
SKE;Skeletonema
GYM;Gymnodiniaceae+Amphidinium+Gyrodinium+Katodinium
LEP;Leptocylindrus
NIT;Ceratoneis+Nitzschia+Hantzschia+Bacillaria
PRP;Protoperidinium+Peridinium
PSE;Pseudo-nitzschia
THP;Thalassiosira+Porosira
PRO;Prorocentrum
PLE;Pleurosigma+Gyrosigma
SCR;Scrippsiella+Ensiculifera+Pentapharsodinium+Bysmatrum
