"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"2013-11-12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"107";NA;NA;"150";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"9698"
"2014-03-20";NA;NA;NA;NA;NA;NA;NA;NA;"182";"23";NA;NA;NA;NA;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;"23";NA;"45";NA;"1113";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"136";NA;NA;NA;NA;NA;NA;"23";"45";"3294";NA;NA;NA;NA;NA;NA;NA;"7156"
"2014-07-28";NA;NA;NA;NA;NA;"15";NA;"22";NA;NA;"7";"15";NA;NA;"22";NA;NA;NA;NA;NA;NA;"7";NA;NA;"59";NA;NA;NA;NA;NA;NA;NA;"59";NA;NA;NA;NA;"15";NA;NA;"7";NA;NA;NA;NA;NA;NA;"7";"37";"52";NA;"52";NA;NA;"30";NA;NA;"10771"
"2015-09-22";NA;NA;"61";"10";NA;NA;"31";"31";"41";NA;"20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"10";NA;NA;NA;"10";NA;NA;"10";NA;NA;NA;NA;NA;"10";NA;NA;"10";NA;"102";NA;NA;NA;"20";NA;NA;NA;NA;NA;NA;NA;"786";NA;NA;"4921"
"2015-11-03";NA;NA;NA;NA;NA;"10";"10";NA;NA;NA;NA;NA;NA;NA;NA;"20";"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;"20";NA;NA;NA;NA;"71";NA;NA;NA;NA;NA;"143";"51";NA;NA;NA;NA;"265";NA;NA;"5029"
"2016-02-02";NA;NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;"14";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"61";NA;NA;NA;NA;NA;"20";NA;NA;NA;NA;NA;"82";NA;NA;"1162"
