"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"2003-02-17";NA;NA;NA;NA;NA;NA;NA;NA;54600;NA;NA;NA;NA;NA;5250;NA;NA;29400;500;NA;NA;NA;NA;8400;4200;NA;NA;NA;NA;NA;3100;NA;NA;NA;NA;NA;4200;21000;NA;4200;NA;9450;1700;2100;NA;NA;NA;NA;NA;9450;6300;NA;5250;NA;52500;68250;NA;17850
"2003-03-03";NA;NA;101850;NA;NA;NA;NA;NA;35700;NA;NA;NA;NA;NA;NA;NA;NA;101850;9450;NA;NA;NA;NA;33600;200;2100;NA;NA;NA;NA;60900;NA;NA;NA;NA;24150;2100;50400;NA;400;NA;NA;NA;2100;1050;NA;NA;NA;NA;21000;5250;NA;NA;NA;22050;131250;NA;72550
"2003-03-24";NA;NA;NA;NA;NA;NA;NA;NA;79800;NA;NA;NA;NA;NA;NA;NA;NA;2100;33600;NA;NA;NA;NA;241500;2100;NA;NA;NA;NA;NA;101850;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17850;284550;NA;NA;NA;NA;NA;NA;72450;10500;NA;NA;NA;NA;NA;NA;1268300
"2003-05-07";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3150;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;35700;12600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;18900;NA;NA;NA;NA;NA;NA;NA;80850;28350;NA;NA;NA;NA;NA;NA;54350
"2003-05-12";NA;NA;3150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1050;NA;NA;NA;NA;NA;27300;3150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1050;3150;NA;1050;NA;15750;NA;NA;1050;NA;NA;NA;NA;604800;4200;NA;NA;NA;NA;9450;NA;398350
"2003-05-15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2090;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43050;2090;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2090;NA;NA;NA;13650;NA;NA;NA;NA;NA;NA;NA;307230;49350;NA;NA;NA;NA;NA;NA;11550
"2003-05-28";NA;NA;NA;NA;NA;NA;NA;2100;NA;NA;NA;NA;1050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45150;4200;NA;NA;NA;NA;NA;NA;NA;1050;NA;NA;NA;NA;NA;NA;2100;NA;500;NA;NA;NA;NA;NA;NA;NA;7350;66150;NA;NA;NA;NA;1050;NA;13950
"2003-06-03";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;128100;7350;NA;NA;NA;NA;NA;NA;9450;NA;NA;NA;NA;1050;NA;NA;NA;NA;NA;NA;2100;NA;NA;NA;NA;NA;NA;82950;NA;NA;NA;NA;1050;NA;3150
"2003-06-25";NA;NA;25200;NA;NA;NA;NA;34650;NA;NA;NA;NA;6300;NA;NA;NA;NA;NA;3150;NA;NA;NA;NA;69300;22050;NA;NA;NA;NA;NA;NA;774900;NA;NA;NA;NA;NA;3150;NA;NA;NA;4200;NA;NA;NA;NA;NA;NA;2100;4200;58800;100;NA;NA;NA;NA;NA;2200
"2003-07-29";NA;200;16720;NA;1500;NA;400;NA;91960;NA;NA;NA;8360;NA;300;NA;200;1100;NA;NA;NA;100;NA;23190;18910;500;NA;100;NA;NA;NA;35530;NA;NA;NA;NA;400;37620;NA;NA;NA;10450;NA;6270;NA;NA;NA;300;2090;4180;33440;NA;8200;NA;NA;1100;NA;4980
"2003-08-12";NA;NA;1000;NA;NA;NA;NA;NA;7350;NA;NA;NA;2100;NA;NA;NA;NA;2100;NA;2100;NA;NA;NA;82950;3350;NA;NA;NA;NA;NA;NA;16800;NA;NA;NA;NA;1050;6300;NA;NA;NA;1600;NA;NA;NA;NA;NA;3150;NA;6300;36750;NA;NA;NA;NA;1050;NA;5350
"2003-09-25";NA;NA;7700;NA;6470;400;NA;300;145399;NA;NA;100;10355;NA;NA;NA;500;600;39349;2071;NA;2071;NA;15297;33845;NA;NA;100;NA;NA;NA;573096;NA;NA;NA;4284;8284;14497;NA;800;NA;33136;NA;NA;NA;NA;NA;NA;2071;43491;1700;2071;NA;NA;18639;12426;NA;25523
"2003-10-14";NA;NA;7350;NA;1050;NA;NA;1050;10500;NA;NA;NA;2100;NA;NA;NA;NA;1050;NA;NA;NA;NA;NA;1050;3150;NA;NA;NA;NA;NA;NA;12600;NA;NA;NA;1200;1050;2100;NA;14700;NA;31500;NA;1050;NA;100;NA;NA;NA;23100;19950;NA;NA;NA;NA;400;NA;2100
"2003-11-13";NA;NA;NA;NA;NA;200;NA;300;700;NA;NA;100;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;1200;100;NA;NA;NA;NA;NA;NA;15540;NA;NA;NA;1036;3108;1036;NA;NA;NA;12432;NA;NA;NA;NA;NA;NA;200;2000;1036;NA;NA;NA;4144;200;NA;1036
"2003-12-08";NA;NA;1000;NA;NA;NA;NA;NA;1800;NA;NA;100;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;3108;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;700;NA;300;NA;100;NA;20720;3108;200;NA;1036;NA;NA;NA;500;200;NA;4144;NA;14248;200;NA;10624
"2004-01-21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;100;NA;1600;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;600;NA;NA;900;NA;1000
"2004-02-16";NA;NA;1200;NA;500;NA;NA;NA;60280;NA;NA;200;NA;NA;NA;NA;NA;3288;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1800;NA;NA;NA;NA;NA;NA;2192;NA;NA;NA;5480;100;100;NA;NA;NA;NA;NA;NA;500;NA;104120;NA;1300;23768;NA;3788
"2004-03-01";NA;NA;10500;NA;NA;NA;NA;NA;100;NA;NA;NA;1096;NA;NA;NA;NA;13152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;900;NA;NA;NA;NA;1096;4384;NA;NA;NA;3800;700;100;NA;NA;NA;100;NA;NA;1096;NA;85488;NA;28496;10668;NA;1296
"2004-03-29";NA;NA;13650;NA;NA;NA;NA;1050;162750;NA;NA;NA;16800;NA;NA;NA;NA;5250;800;NA;NA;NA;NA;38850;1250;NA;NA;NA;NA;NA;1900;14700;NA;NA;NA;NA;NA;2100;NA;NA;NA;11550;NA;NA;NA;NA;NA;NA;1050;30450;17850;NA;NA;NA;NA;NA;NA;436050
"2004-04-08";NA;NA;700;NA;NA;NA;NA;24110;155630;NA;NA;NA;NA;NA;NA;NA;100;3288;8700;NA;NA;NA;NA;130436;400;NA;NA;NA;NA;NA;3288;8768;NA;NA;NA;5480;1096;1100;NA;100;NA;4000;NA;700;NA;NA;NA;NA;2192;31992;47128;NA;NA;NA;600;NA;NA;12276676
"2004-04-22";NA;200;1500;NA;1096;NA;NA;12060;75622;NA;NA;NA;NA;NA;NA;100;100;500;14250;NA;NA;NA;NA;80008;200;NA;NA;NA;NA;NA;NA;27400;NA;NA;NA;900;300;8868;NA;NA;NA;9864;NA;400;NA;200;NA;NA;400;20824;33976;NA;NA;NA;NA;200;NA;5558384
"2004-05-06";NA;200;NA;NA;NA;NA;NA;2192;108500;NA;NA;NA;NA;NA;NA;NA;100;1096;15340;NA;NA;NA;NA;153424;300;NA;NA;NA;NA;NA;400;101900;NA;NA;NA;NA;1096;10960;NA;NA;NA;27400;NA;900;NA;NA;NA;100;300;73430;30690;100;NA;NA;800;500;NA;3582456
"2004-05-18";NA;NA;NA;NA;NA;NA;NA;2192;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;38360;NA;NA;NA;NA;221220;3488;NA;NA;NA;NA;NA;NA;15344;NA;NA;NA;NA;1096;NA;NA;NA;NA;900;NA;NA;NA;NA;NA;NA;NA;51512;32880;NA;NA;NA;NA;200;NA;6047268
"2004-06-08";NA;100;35056;NA;600;NA;NA;6573;304564;NA;NA;400;NA;NA;NA;100;200;300;19719;100;NA;2191;NA;897973;19822;NA;NA;NA;NA;NA;2800;120500;NA;NA;NA;6573;4382;2191;NA;900;NA;4300;NA;NA;NA;300;NA;12000;13150;252060;21914;400;NA;NA;4700;44222;NA;9964
"2004-06-22";NA;300;NA;NA;NA;NA;NA;13146;208930;NA;NA;100;10960;NA;NA;NA;NA;2191;26290;NA;NA;NA;NA;74501;39437;NA;NA;NA;NA;NA;2400;915900;NA;NA;NA;NA;2191;4382;NA;NA;NA;1900;NA;NA;NA;NA;NA;NA;100;324310;10955;2191;NA;NA;10960;26290;NA;2691
"2004-07-19";NA;200;900;NA;700;NA;NA;NA;5900;NA;NA;NA;37250;NA;NA;NA;NA;NA;1200;2191;NA;100;NA;240137;5391;NA;NA;NA;NA;NA;NA;234400;NA;NA;NA;NA;2191;300;NA;NA;NA;1300;NA;NA;NA;2500;NA;500;200;15339;19721;2191;NA;NA;1000;1400;NA;11664
"2004-08-16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10500;NA;6300;NA;100;NA;10500;1050;NA;NA;NA;11550;51550;3150;NA;NA;NA;NA;NA;16800;NA;NA;NA;NA;100;5250;NA;3150;NA;7350;7350;NA;NA;100;NA;6300;1050;399190;2100;1050;NA;NA;8400;2100;NA;24150
