"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"2013-11-12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"655";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"218";NA;NA;NA;NA;NA;NA;NA;NA;"8738"
"2014-07-28";NA;NA;"34";"921";NA;NA;NA;"93";"1115";NA;NA;NA;NA;NA;"25";NA;NA;NA;"8";NA;NA;"4";NA;"68";NA;NA;NA;NA;NA;NA;NA;"135";NA;NA;NA;NA;"330";"101";NA;NA;NA;"68";"8";NA;NA;NA;"25";NA;"8";"2400";NA;NA;NA;NA;"59";NA;NA;"9552"
"2015-09-22";NA;NA;NA;NA;NA;NA;"61";NA;"61";NA;NA;NA;NA;NA;NA;NA;"41";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"20";"20";NA;NA;NA;NA;"122";NA;NA;NA;"20";NA;"20";NA;NA;NA;NA;NA;"306";NA;NA;"1607"
"2015-11-03";NA;NA;NA;"184";NA;NA;NA;NA;"429";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"61";NA;"204";NA;NA;NA;NA;NA;"184";"347";NA;NA;NA;NA;"857";NA;NA;"3299"
"2016-02-02";NA;NA;NA;NA;NA;"10";"20";NA;NA;NA;NA;NA;NA;NA;NA;"20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"122";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"82";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;"14219"
