"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"2007-03-13";NA;NA;NA;NA;NA;NA;NA;NA;"115";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2076";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"577";"692";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"115";NA;NA;NA;NA;NA;NA;NA;NA;"3691"
"2007-06-13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1845";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"807";"346";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"346";NA;NA;NA;NA;NA;"7725"
"2007-08-09";NA;NA;NA;NA;NA;NA;NA;NA;"346";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2422";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"865";"1903";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"692";NA;NA;NA;NA;NA;NA;NA;NA;"3460"
"2007-10-12";NA;NA;NA;NA;NA;NA;NA;NA;NA;"384";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2499";NA;NA;NA;NA;NA;NA;NA;"384";NA;NA;NA;"1153";"1730";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"192";NA;NA;NA;NA;NA;"1538";NA;NA;"9418"
"2008-01-09";NA;"109";NA;"109";NA;"109";NA;NA;"327";NA;NA;NA;NA;NA;NA;NA;NA;NA;"1089";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"218";NA;NA;NA;"980";"436";NA;NA;"109";NA;"1852";NA;NA;NA;NA;NA;"654";NA;NA;NA;NA;NA;"218";NA;NA;"5993"
"2008-03-13";NA;"109";NA;"109";NA;NA;NA;NA;"327";NA;NA;NA;NA;NA;NA;NA;NA;NA;"1089";NA;NA;NA;NA;NA;"3377";NA;NA;NA;NA;NA;NA;NA;"218";NA;NA;NA;"980";"436";NA;NA;"109";NA;"1634";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3378"
"2008-06-05";NA;"109";NA;"109";NA;NA;NA;NA;"327";NA;NA;NA;NA;NA;NA;NA;NA;NA;"1089";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"218";NA;NA;NA;"980";"436";NA;NA;NA;NA;"1634";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3269"
"2008-08-25";NA;NA;NA;NA;NA;NA;NA;NA;"807";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1110";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1312";"2220";NA;NA;NA;NA;"303";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"101";"2119";NA;NA;"808"
"2008-10-08";NA;NA;NA;NA;NA;"110";NA;NA;"1316";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5483";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"877";"1536";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1645"
"2013-09-03";NA;NA;NA;NA;NA;NA;NA;NA;"240";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"40";NA;"5280";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5080";NA;NA;NA;NA;NA;NA;NA;NA;NA;"80";NA;NA;"320";NA;"200";NA;NA;NA;NA;NA;"328150"
