"Date";"AST";"CHA";"CRY";"EUG";"GUI";"GYM";"LEP";"NIT";"PRP";"PSE";"RHI";"SKE";"NEI"
"1989-12-04";NA;NA;NA;"400";NA;NA;NA;"800";NA;NA;"800";NA;"60000"
"1990-01-04";NA;NA;NA;"1800";NA;NA;NA;"400";NA;NA;"200";"1800";"35400"
"1990-01-22";NA;"38200";NA;"3600";NA;NA;NA;"9000";"10600";NA;"12600";NA;"123000"
"1990-02-26";NA;NA;NA;NA;NA;NA;NA;"2600";NA;NA;NA;NA;"28400"
"1990-03-16";NA;"9600";NA;"2200";NA;NA;NA;"4800";NA;NA;"600";"4400";"103600"
"1990-04-09";NA;"35600";NA;"1600";NA;NA;NA;"2200";NA;NA;"1600";"600";"90600"
"1990-05-03";NA;"600";NA;"800";NA;NA;NA;"400";NA;NA;"1200";"200";"33200"
"1990-05-07";NA;"800";NA;"2400";NA;NA;NA;"1800";"600";NA;"800";NA;"25200"
"1990-05-20";NA;NA;NA;"2800";NA;"2400";NA;"600";"5600";NA;"32400";"25200";"136200"
"1990-07-02";NA;"6800";NA;"4800";NA;"2000";NA;"2200";NA;NA;NA;"580000";"1e+05"
"1990-07-25";NA;"600";NA;"1400";NA;NA;NA;"3000";NA;NA;NA;NA;"19200"
"1990-08-06";NA;"5600";NA;"600";NA;"1400";NA;"2400";"5400";NA;"12200";"1640000";"49100"
"1990-08-20";NA;"3200";NA;NA;NA;"800";NA;"2800";"2600";NA;"400";"400";"13900"
"1990-09-03";NA;"200";NA;NA;NA;NA;NA;"600";"800";NA;"2200";"400";"22000"
"1990-09-18";NA;"200";NA;"7600";NA;NA;NA;"1800";"4200";NA;"1600";"4000";"42200"
"1990-10-18";NA;"5400";NA;"1000";NA;NA;NA;"2400";"1000";NA;"6200";NA;"21300"
"1990-11-05";NA;"2200";NA;"600";NA;NA;NA;NA;NA;NA;NA;NA;"13200"
"1990-12-03";NA;NA;NA;NA;NA;NA;NA;"6200";NA;NA;NA;NA;"14400"
"1990-12-13";NA;NA;NA;"200";NA;NA;NA;"600";NA;NA;"400";NA;"11600"
"1991-01-04";NA;"600";NA;"4400";NA;NA;NA;"400";"200";NA;"1800";"30800";"36200"
"1991-02-04";"400";"600";NA;NA;NA;NA;NA;"6200";NA;NA;"2800";"5400";"55000"
