"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1987-06-17";NA;NA;28400;NA;NA;NA;NA;NA;12800;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;1600;0;NA;NA;NA;NA;NA;NA;600;NA;NA;NA;0;NA;12000;NA;NA;NA;5200;NA;NA;200;NA;NA;0;0;NA;400;NA;NA;NA;NA;22600;NA;2200
"1987-07-10";NA;NA;4e+05;NA;NA;NA;NA;NA;4e+05;NA;NA;NA;NA;1800;NA;0;NA;NA;NA;NA;NA;NA;NA;16200;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15600;NA;NA;NA;NA;NA;NA;0
"1987-07-31";NA;NA;4e+05;NA;800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;200;NA;NA;NA;NA;32600;NA;NA;NA;NA;NA;400;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;4e+05;NA;NA;200;NA;NA;NA;NA;NA;130800;NA;NA;NA;NA;4e+05;NA;NA
"1987-08-12";NA;NA;4e+05;NA;NA;NA;NA;NA;8200;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;114400;NA;NA;NA;NA;NA;NA;NA;6600;NA;NA;NA;NA;NA;NA;NA;30000;NA;NA;NA;NA;200;NA;NA;400;NA;NA;12800;NA;NA;NA;1600;7600;NA;NA
"1987-09-01";NA;NA;NA;NA;NA;NA;NA;NA;4e+05;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;10800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;11200;NA;NA;1400;NA;NA;NA;NA;NA;1000;NA;NA;NA;1000;600;NA;NA
"1987-09-17";NA;NA;400;NA;4600;NA;NA;NA;166600;NA;NA;NA;NA;NA;NA;0;NA;1400;2600;NA;NA;NA;NA;13800;NA;NA;NA;NA;NA;NA;400;400;NA;NA;NA;NA;NA;2000;NA;NA;NA;4000;NA;NA;1600;NA;NA;NA;NA;NA;600;NA;NA;NA;26600;2800;NA;NA
"1987-10-20";NA;NA;NA;NA;NA;NA;NA;NA;1600;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;3600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1600;NA;1200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8600;NA;NA;NA
"1988-05-17";NA;NA;4800;NA;NA;NA;NA;NA;NA;0;NA;800;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;400200;800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;800;NA;NA;NA;NA;NA;7200;NA;NA;NA;NA;NA;NA;NA
"1988-05-26";NA;NA;NA;NA;NA;NA;NA;NA;20800;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;93900;NA;NA;NA;NA;NA;57400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2600;NA;NA;NA;NA;NA;2600;NA;NA;NA;NA;NA;NA;NA
"1988-06-07";NA;NA;60000;NA;NA;NA;NA;NA;13000;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;357500;NA;NA;NA;NA;NA;5200;18200;NA;NA;NA;NA;NA;NA;NA;NA;2600;NA;NA;NA;NA;2600;NA;NA;NA;NA;NA;5200;NA;NA;NA;NA;NA;NA;NA
"1988-06-28";NA;NA;739200;NA;NA;NA;NA;NA;47600;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;196000;NA;NA;NA;NA;2800;NA;126000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2800;NA;NA;NA;NA;NA;86800;NA;NA;NA;NA;19600;NA;2800
"1988-07-13";NA;NA;14000;NA;NA;NA;NA;NA;58800;NA;NA;NA;NA;NA;NA;0;NA;NA;8400;NA;NA;NA;NA;2800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11200;2800;NA;NA;NA;NA;NA;2800;NA;NA;2800;NA;NA;49600;NA;NA;NA;NA;NA;NA;NA
"1988-07-28";NA;NA;173600;NA;NA;NA;NA;NA;92400;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;126000;NA;NA;NA;NA;NA;NA;8400;NA;NA;NA;NA;NA;NA;8400;NA;8400;NA;NA;NA;NA;2800;NA;NA;2800;NA;16800;33600;NA;NA;NA;8400;16800;NA;NA
"1988-09-07";NA;NA;184800;NA;NA;NA;NA;NA;263200;NA;NA;2800;NA;NA;NA;0;NA;NA;47600;NA;NA;NA;NA;142800;NA;NA;NA;NA;NA;2800;NA;NA;NA;NA;30800;NA;NA;NA;NA;NA;NA;NA;NA;NA;2800;NA;NA;2800;NA;22400;5600;NA;NA;NA;67200;145600;NA;NA
"1988-09-17";NA;NA;92400;NA;NA;NA;NA;NA;151200;NA;NA;NA;NA;NA;NA;2800;NA;2800;187600;NA;NA;NA;NA;16800;NA;NA;NA;NA;NA;NA;2800;NA;NA;NA;NA;NA;NA;NA;NA;5600;NA;NA;NA;NA;2800;NA;NA;2800;NA;28000;8400;NA;NA;NA;25200;5600;NA;NA
"1988-11-17";NA;NA;NA;NA;NA;2800;NA;25200;61600;NA;NA;5600;NA;NA;NA;0;NA;67200;8400;NA;NA;NA;NA;187600;NA;NA;NA;NA;NA;NA;14000;NA;NA;NA;14000;16800;NA;16800;NA;5600;NA;16800;NA;NA;NA;NA;NA;NA;NA;NA;2800;NA;5600;NA;19600;5600;NA;36400
"1989-02-03";NA;NA;4900;NA;NA;NA;NA;1400;NA;NA;NA;700;NA;NA;NA;0;NA;3500;5600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8400;NA;NA;NA;NA;NA;NA;NA;2100;NA;NA;23100;NA;24500;182000;NA;700
"1989-04-14";NA;NA;1600;NA;NA;NA;NA;20200;143200;NA;NA;900;NA;2400;NA;0;NA;1900;NA;NA;NA;NA;NA;7300;100;NA;NA;NA;NA;NA;3000;NA;NA;NA;NA;NA;NA;2400;NA;400;NA;12700;NA;NA;200;NA;NA;NA;NA;NA;600;NA;NA;NA;10400;46900;NA;300
"1989-05-03";NA;NA;361200;NA;NA;NA;NA;9800;129500;NA;NA;2100;NA;81900;NA;0;NA;NA;7700;NA;NA;NA;NA;44100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16100;NA;9800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4900;NA;NA;NA;16100;NA;NA;700
"1989-05-18";NA;NA;1161300;NA;NA;NA;NA;1400;459900;NA;NA;700;NA;84700;NA;0;NA;NA;5600;NA;NA;NA;NA;160300;10500;NA;NA;NA;NA;NA;51800;NA;NA;NA;NA;NA;NA;5600;NA;23800;NA;8400;NA;NA;NA;NA;NA;NA;NA;NA;2800;NA;NA;NA;23800;5600;NA;2e+08
"1989-05-30";NA;NA;1442000;NA;NA;NA;NA;700;102200;NA;NA;1400;NA;12600;NA;0;NA;NA;NA;NA;NA;NA;NA;93100;13300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56700;NA;9100;NA;19600;NA;NA;1400;NA;NA;NA;NA;NA;4900;NA;NA;NA;NA;NA;NA;NA
"1989-06-06";NA;NA;7952000;NA;NA;NA;NA;NA;1397200;NA;NA;5600;NA;29400;NA;0;NA;NA;NA;NA;NA;NA;NA;173600;NA;NA;NA;NA;NA;NA;8400;NA;NA;NA;NA;NA;NA;39200;NA;37800;NA;21000;NA;NA;8400;NA;NA;NA;NA;NA;4200;NA;NA;NA;7000;11200;NA;NA
"1989-06-13";NA;NA;123200;NA;NA;NA;NA;NA;3334800;NA;NA;1400;NA;16800;NA;0;NA;NA;13300;NA;NA;NA;NA;95200;700;NA;NA;NA;700;NA;4900;NA;NA;NA;NA;NA;NA;53200;NA;700;NA;12600;NA;NA;NA;NA;NA;NA;2100;NA;2800;NA;12600;NA;NA;NA;NA;NA
"1989-06-21";NA;NA;2758000;NA;NA;NA;NA;NA;430500;NA;NA;NA;NA;700;NA;0;NA;NA;2100;NA;NA;NA;NA;161000;NA;NA;NA;NA;NA;NA;28000;NA;NA;NA;NA;NA;NA;30800;NA;12600;NA;NA;NA;NA;1400;NA;NA;NA;NA;NA;11900;NA;4200;NA;NA;NA;NA;NA
"1989-07-03";NA;NA;717500;NA;NA;NA;NA;NA;NA;NA;NA;700;NA;NA;NA;0;NA;NA;1400;NA;NA;NA;NA;23800;NA;NA;NA;NA;NA;NA;9100;NA;NA;NA;NA;NA;NA;NA;NA;2100;NA;4200;NA;NA;700;NA;NA;NA;NA;NA;153300;NA;NA;NA;NA;NA;NA;NA
"1989-07-12";NA;NA;202300;NA;NA;NA;NA;NA;NA;NA;NA;700;NA;NA;NA;0;NA;NA;2100;NA;NA;NA;NA;2100;NA;NA;NA;NA;NA;NA;9100;NA;NA;NA;NA;NA;NA;2800;700;700;NA;3500;NA;NA;NA;NA;NA;2100;NA;NA;287700;NA;NA;NA;NA;NA;NA;NA
"1989-08-17";NA;NA;NA;NA;NA;NA;NA;NA;10500;NA;NA;700;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25200;NA;53900;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
