"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"2011-10-17";NA;NA;5800;NA;1754;NA;NA;NA;300;NA;NA;1754;69280;NA;NA;NA;NA;NA;NA;877;NA;NA;NA;877;5262;NA;NA;NA;NA;NA;200;200;NA;NA;NA;NA;400;3508;NA;NA;NA;10520;NA;NA;100;NA;NA;NA;NA;877;NA;NA;NA;NA;7016;8770;100;22017
"2011-11-10";NA;NA;6800;NA;NA;NA;NA;NA;20164;NA;NA;100;46480;NA;200;NA;NA;1200;NA;NA;NA;NA;NA;1754;3808;NA;NA;NA;NA;NA;3508;NA;NA;NA;NA;3100;1754;1754;NA;NA;NA;42090;NA;NA;200;NA;NA;NA;NA;400;100;100;3508;NA;8770;NA;200;138230
"2012-01-10";NA;NA;NA;NA;NA;NA;NA;NA;900;NA;NA;NA;38580;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;1754;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3508;10520;NA;400;NA;4385;NA;NA;300;NA;NA;NA;NA;NA;200;100;3508;NA;200;11397;877;12747
"2012-02-06";NA;NA;7200;NA;NA;NA;NA;NA;5585;NA;NA;100;56120;NA;877;NA;NA;300;NA;NA;NA;NA;NA;NA;9747;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;877;4508;NA;NA;NA;10520;NA;NA;877;NA;NA;NA;1754;NA;100;NA;222800;NA;7016;67515;NA;7154
"2012-03-09";NA;NA;85700;NA;NA;NA;NA;NA;16378;NA;NA;877;109600;NA;NA;NA;877;8770;NA;NA;NA;NA;NA;100;7016;NA;NA;NA;NA;NA;700;NA;NA;NA;NA;NA;1754;14900;NA;NA;NA;5700;NA;NA;1754;NA;NA;NA;NA;28938;877;NA;NA;NA;26310;224828;NA;193134
"2012-03-23";NA;NA;NA;NA;NA;NA;NA;NA;14027;NA;NA;NA;NA;NA;NA;NA;NA;78840;NA;NA;NA;NA;NA;1754;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;12270;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;877;126262;14030;NA;NA;NA;NA;400;NA;5610393
"2012-04-03";NA;NA;NA;NA;NA;NA;NA;NA;16280;NA;NA;NA;53490;8770;NA;NA;NA;3508;NA;NA;NA;NA;NA;12274;35944;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;877;NA;NA;NA;NA;NA;NA;200;NA;NA;100;877;69260;195300;200;NA;NA;NA;NA;877;2249393
"2012-05-07";NA;NA;1800;NA;NA;NA;NA;3508;NA;NA;NA;NA;3508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23671;6139;NA;NA;NA;NA;NA;NA;7016;NA;NA;NA;200;NA;1754;NA;NA;NA;1800;NA;NA;877;NA;NA;NA;877;411300;289600;NA;NA;NA;NA;NA;NA;4807430
"2012-05-23";NA;NA;NA;NA;NA;NA;NA;NA;33320;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;4708;11600;NA;NA;NA;NA;NA;NA;14030;NA;NA;NA;NA;NA;NA;NA;NA;NA;500;NA;NA;877;NA;NA;877;877;385708;99410;NA;NA;NA;NA;NA;200;106200
"2012-06-07";NA;NA;200;NA;NA;NA;NA;14032;26310;NA;NA;NA;21048;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75422;1754;NA;NA;NA;NA;NA;NA;976980;NA;NA;NA;2631;877;NA;NA;NA;NA;1200;NA;NA;NA;NA;NA;NA;3508;43719;4385;NA;NA;NA;3508;NA;100;977
"2012-06-20";NA;NA;10100;NA;NA;NA;NA;7893;NA;NA;NA;NA;200500;NA;NA;NA;2631;NA;NA;NA;NA;NA;NA;181330;14028;NA;NA;NA;NA;NA;NA;92550;NA;NA;NA;1500;NA;877;NA;NA;NA;1200;NA;NA;200;NA;NA;NA;1754;68398;24553;200;NA;NA;17540;NA;877;5485
"2012-07-23";NA;NA;1754;NA;NA;NA;NA;NA;28940;NA;NA;NA;59630;NA;NA;NA;3508;NA;NA;100;NA;NA;NA;198093;27177;NA;NA;NA;NA;NA;3508;149100;NA;NA;NA;NA;200;NA;NA;NA;NA;5000;NA;NA;300;NA;NA;2631;877;30690;71037;6139;NA;NA;10520;25430;100;3508
"2012-08-08";NA;NA;NA;NA;NA;NA;NA;877;14847;NA;NA;NA;296500;NA;NA;NA;877;NA;NA;NA;NA;NA;NA;7893;21924;NA;NA;NA;4385;NA;NA;224500;NA;NA;NA;NA;877;NA;NA;400;NA;6139;NA;NA;100;NA;NA;3508;200;500;4385;200;NA;NA;1754;NA;500;18716
"2012-09-06";NA;NA;NA;NA;NA;NA;NA;4385;13155;NA;NA;877;217600;NA;500;NA;NA;NA;3508;200;NA;NA;NA;26301;33317;NA;NA;NA;877;NA;NA;14030;NA;NA;NA;NA;NA;NA;NA;NA;NA;1754;NA;NA;NA;NA;NA;7893;1754;3508;22800;400;NA;NA;3508;NA;100;5262
"2012-11-14";NA;NA;84190;NA;NA;NA;NA;NA;3508;NA;NA;NA;65770;NA;877;NA;NA;100;NA;877;NA;NA;NA;NA;14024;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4385;5262;NA;200;NA;65770;NA;NA;300;NA;NA;NA;877;1754;NA;NA;NA;NA;3508;15782;877;52435
"2013-01-17";NA;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;300;NA;100;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;200;NA;NA;NA;2300;NA;NA;100;NA;NA;NA;NA;NA;NA;100;7500;NA;NA;1000;100;4700
"2013-02-12";NA;NA;10520;NA;NA;NA;NA;NA;12270;NA;NA;NA;125100;NA;NA;NA;NA;877;NA;877;NA;NA;NA;NA;9747;NA;NA;NA;NA;NA;5262;NA;NA;NA;NA;NA;100;4785;NA;3508;NA;4385;NA;NA;1754;NA;NA;200;3508;300;200;NA;106200;NA;NA;32442;100;77161
"2013-04-10";NA;NA;3508;NA;NA;NA;NA;NA;31584;NA;NA;877;154200;13150;NA;NA;100;2631;NA;NA;NA;NA;NA;1377;14032;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;877;NA;NA;NA;NA;NA;NA;1754;NA;NA;NA;400;517600;28940;NA;NA;NA;3508;NA;100;3957938
"2013-05-16";NA;NA;35080;NA;NA;NA;NA;NA;NA;NA;NA;NA;154352;11401;NA;NA;NA;200;NA;877;NA;NA;NA;200;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1800;NA;3508;NA;NA;NA;NA;NA;NA;1754;9647;56128;100;NA;NA;3508;3508;NA;39465
"2013-05-27";NA;NA;1600;NA;NA;NA;NA;NA;NA;NA;NA;NA;18410;NA;NA;NA;NA;NA;NA;1754;NA;NA;NA;1400;18409;NA;NA;NA;NA;NA;NA;11400;NA;NA;NA;NA;200;NA;NA;NA;NA;4400;NA;NA;600;NA;NA;NA;2631;150800;104500;1754;NA;NA;21920;NA;NA;525593
"2013-06-10";NA;NA;NA;NA;NA;NA;NA;NA;58759;NA;NA;NA;3508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27187;1754;NA;NA;NA;NA;NA;NA;957684;NA;NA;NA;NA;1754;NA;NA;NA;NA;NA;NA;NA;9647;NA;NA;300;400;49112;3508;1754;NA;NA;NA;NA;877;25433
"2013-06-25";NA;NA;NA;NA;NA;NA;NA;NA;1400;NA;NA;877;186800;NA;NA;NA;NA;NA;NA;877;NA;NA;NA;8770;21047;NA;NA;NA;NA;NA;NA;2e+06;NA;NA;NA;NA;2654;877;NA;NA;NA;14030;NA;NA;900;NA;NA;NA;1754;8770;4385;NA;NA;NA;28060;1754;NA;28085
"2013-07-22";NA;NA;NA;NA;NA;NA;NA;1754;16180;NA;NA;NA;133600;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;18417;9647;NA;NA;NA;NA;NA;NA;90840;NA;NA;NA;NA;1754;7893;NA;NA;NA;3508;NA;NA;700;NA;NA;877;1754;15782;140500;877;NA;NA;400;NA;NA;17109
"2013-08-06";NA;NA;NA;NA;NA;NA;NA;NA;50910;NA;NA;NA;149100;NA;NA;NA;NA;NA;NA;877;NA;NA;NA;2254;20267;NA;NA;NA;877;NA;NA;NA;100;NA;NA;NA;5262;2631;NA;NA;NA;8770;NA;NA;500;NA;NA;400;2631;7016;198800;1754;NA;NA;NA;1754;NA;11501
"2013-09-04";NA;NA;294800;2631;NA;NA;NA;NA;430268;NA;NA;100;167900;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;700;17534;NA;NA;NA;2631;NA;NA;8770;100;NA;NA;NA;6139;877;NA;NA;NA;15780;NA;NA;300;NA;NA;877;2631;47350;33320;NA;NA;NA;200;NA;400;6239
