"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1995-11-09";NA;NA;97500;NA;NA;NA;NA;NA;1500;NA;NA;200;NA;NA;NA;NA;NA;6250;NA;NA;NA;NA;NA;1250;300;NA;NA;NA;NA;NA;1000;700;NA;NA;35000;NA;2500;NA;NA;39350;NA;NA;5000;NA;1250;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;NA;1650
"1995-12-21";NA;NA;7500;NA;NA;NA;NA;NA;5850;NA;NA;1250;NA;NA;NA;NA;NA;1700;NA;NA;NA;NA;NA;11250;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;5000;5000;2500;1250;NA;8750;NA;NA;10000;NA;2500;NA;NA;NA;NA;6250;NA;NA;NA;NA;33750;600;NA;3850
"1996-01-19";NA;NA;51250;NA;NA;NA;NA;NA;12500;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30000;NA;2500;1250;NA;18750;NA;NA;22500;NA;100;NA;NA;NA;NA;5000;3750;NA;30000;NA;800;1400;NA;2500
"1996-03-11";NA;NA;291250;NA;NA;NA;NA;500;15000;NA;NA;300;NA;NA;NA;NA;NA;32500;NA;NA;NA;NA;NA;3750;NA;NA;NA;NA;NA;NA;4000;NA;NA;NA;17500;NA;NA;17500;NA;2500;NA;NA;37500;NA;NA;NA;NA;NA;NA;10000;3750;NA;NA;NA;108750;1700;NA;23200
"1996-03-21";NA;NA;170000;NA;NA;NA;NA;5000;2200;NA;NA;NA;NA;NA;100;NA;NA;12500;800;NA;NA;NA;NA;22500;100;NA;NA;NA;NA;NA;7500;NA;NA;NA;NA;NA;NA;5000;NA;7500;NA;NA;52500;NA;NA;NA;NA;NA;100;5000;NA;NA;NA;NA;125000;22550;NA;35100
"1996-04-11";NA;NA;285000;NA;NA;NA;NA;6250;2800;NA;NA;100;NA;NA;NA;NA;100;8750;8750;NA;NA;NA;NA;611250;2200;NA;NA;NA;NA;NA;118750;10000;NA;NA;15000;NA;2500;50000;NA;1250;NA;NA;23750;NA;1250;NA;NA;NA;NA;6250;6250;NA;NA;NA;15000;4050;NA;16584300
"1996-04-19";NA;NA;42500;NA;1250;NA;NA;10000;18100;NA;NA;2500;NA;NA;NA;NA;NA;1250;2200;NA;NA;NA;NA;520000;3300;NA;NA;NA;NA;NA;82500;5000;NA;NA;21250;NA;NA;515000;NA;3750;NA;NA;17500;NA;600;NA;NA;NA;100;NA;17500;NA;NA;NA;NA;NA;NA;14334650
"1996-05-14";NA;NA;111250;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;5000;NA;NA;NA;NA;107500;200;NA;NA;NA;NA;NA;7500;11250;NA;NA;13750;NA;NA;1135000;NA;16250;NA;NA;NA;NA;300;NA;NA;NA;100;NA;22500;NA;NA;NA;NA;NA;NA;17500
"1996-05-29";NA;NA;223750;NA;NA;NA;NA;NA;600;NA;NA;100;NA;NA;NA;NA;NA;200;7500;NA;NA;NA;NA;40000;1000;NA;NA;NA;NA;NA;73750;3750;NA;NA;41250;NA;NA;85000;NA;8850;NA;NA;1300;NA;100;NA;NA;NA;NA;188750;7500;NA;NA;NA;700;700;NA;20369700
"1996-06-06";NA;NA;2500;NA;NA;NA;NA;NA;23750;NA;NA;100;NA;NA;NA;NA;NA;NA;13750;NA;NA;NA;NA;1700;1000;NA;NA;NA;NA;NA;9700;1600;NA;NA;4300;800;NA;2500;NA;13750;NA;NA;NA;NA;NA;NA;NA;NA;NA;447500;NA;500;NA;NA;NA;NA;NA;200
