;Men Er Roue;Loscolo;Large Croisic;LEperon ;Cornard;Auger;Antoine;Lazaret
Men Er Roue;0;42.7236969239963;50.922516322676;199.300754726809;222.418193138366;240.866473684762;773.118201545806;860.524379099056
Loscolo;42.7236969239963;0;17.6030120290511;164.997336403858;189.292846469991;210.536297502078;733.787879445922;820.598658477828
Large Croisic;50.922516322676;17.6030120290511;0;150.264468105453;174.137047042606;194.525895375031;722.277490745831;809.612013144495
LEperon ;199.300754726809;164.997336403858;150.264468105453;0;25.2910556459372;52.3154912473168;578.196691115767;667.250786829871
Cornard;222.418193138366;189.292846469991;174.137047042606;25.2910556459372;0;28.9436394163953;558.854024877437;648.505522864485
Auger;240.866473684762;210.536297502078;194.525895375031;52.3154912473168;28.9436394163953;0;550.394022278123;640.912204777718
Antoine;773.118201545806;733.787879445922;722.277490745831;578.196691115767;558.854024877437;550.394022278123;0;92.0106084619895
Lazaret;860.524379099056;820.598658477828;809.612013144495;667.250786829871;648.505522864485;640.912204777718;92.0106084619895;0
