"B.CHACHA";"B.CHADIT";"B.CHAGUI";"B.CHALEP";"B.CHARHI";"B.CHASKE";"B.CHATHP";"B.DITCHA";"B.DITDIT";"B.DITGUI";"B.DITLEP";"B.DITRHI";"B.DITSKE";"B.DITTHP";"B.GUICHA";"B.GUIDIT";"B.GUIGUI";"B.GUILEP";"B.GUIRHI";"B.GUISKE";"B.GUITHP";"B.LEPCHA";"B.LEPDIT";"B.LEPGUI";"B.LEPLEP";"B.LEPRHI";"B.LEPSKE";"B.LEPTHP";"B.RHICHA";"B.RHIDIT";"B.RHIGUI";"B.RHILEP";"B.RHIRHI";"B.RHISKE";"B.RHITHP";"B.SKECHA";"B.SKEDIT";"B.SKEGUI";"B.SKELEP";"B.SKERHI";"B.SKESKE";"B.SKETHP";"B.THPCHA";"B.THPDIT";"B.THPGUI";"B.THPLEP";"B.THPRHI";"B.THPSKE";"B.THPTHP";"B.NITNIT";"B.NITPLE";"B.NITPSE";"B.NITTHL";"B.PLENIT";"B.PLEPLE";"B.PLEPSE";"B.PLETHL";"B.PSENIT";"B.PSEPLE";"B.PSEPSE";"B.PSETHL";"B.THLNIT";"B.THLPLE";"B.THLPSE";"B.THLTHL";"B.GYMGYM";"B.GYMPRO";"B.GYMPRP";"B.PROGYM";"B.PROPRO";"B.PROPRP";"B.PRPGYM";"B.PRPPRO";"B.PRPPRP"
"B.DITLEP";1.84653535531085e-18;-1.53083874422677e-19;-6.10569769149318e-20;-0.0691944890925316;6.39713699498891e-19;4.37178358114097e-19;7.23908149357007e-19;-4.85055656698751e-18;8.64939164885489e-19;-5.46107794455851e-18;1;-6.1237367762994e-18;2.00435329570738e-18;-4.09015327394861e-18;1.8114948435448e-19;-6.37530502298019e-20;6.45824220168587e-19;-0.0642475863049473;5.56519113957875e-19;-2.89103713252705e-19;3.01477557853629e-19;5.65997507998813e-19;-1.36994066765743e-20;-4.81415103088667e-19;0.0236475173937853;-1.48451275239012e-19;3.6032832670872e-19;6.4782212835468e-20;-8.28530039417035e-19;8.56188007114005e-21;6.74276875599938e-19;-0.0888987696079988;2.54157757110568e-19;-6.05747656320174e-19;-4.04877050616222e-20;4.05628416204787e-19;-1.09735301157309e-19;1.05574630711557e-18;-0.187039541997828;9.33760197422808e-19;-4.22420958827067e-19;5.18919965146592e-19;2.72342990679877e-18;-3.3443723664638e-19;1.05502109478732e-18;-0.323960029584484;1.911174320847e-18;-9.53935486934405e-20;1.58149799885709e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITRHI";-1.12369489133833e-20;-3.96179146865843e-19;6.16403669003155e-19;1.01872258392187e-19;-0.0691944890925317;3.41704363301491e-19;-1.76078406781347e-19;-9.44175770070317e-18;2.5466143413425e-18;-1.21532677477364e-17;-6.12373677629939e-18;1;7.84026546055893e-18;1.13182079232948e-18;1.07548865428816e-18;-2.75555096905056e-19;1.4109126321077e-18;6.93569204273348e-19;-0.0642475863049474;-9.05158609609854e-19;-1.22468087549171e-19;-7.31574035589683e-19;3.41995868789938e-20;-7.45522376912143e-19;-4.29880930495885e-19;0.0236475173937853;7.43295410692145e-19;1.51997115897486e-20;1.2856412531061e-18;-6.73041058940282e-20;1.07644985027428e-18;7.57426504943723e-19;-0.0888987696079986;-1.3002428968311e-18;-2.99127297067872e-20;1.567380842963e-18;-3.46833745341825e-19;2.09290535368751e-18;9.95813187965838e-19;-0.187039541997828;-1.36473201871304e-18;-1.54147268428735e-19;2.27915361628345e-18;-1.0089621713538e-18;3.28414668473122e-18;1.58601320726005e-18;-0.323960029584485;-1.56433851864266e-18;-4.48424539857938e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITSKE";-1.30152260156672e-18;-1.12565028021452e-18;-1.1522960738145e-18;-6.71178914415327e-19;-1.2644224399966e-18;-0.0691944890925315;-2.04054746844371e-18;1.15074323425239e-17;6.36003639830557e-18;1.5346104396089e-17;2.00435329570738e-18;7.84026546055893e-18;1;1.15292967983795e-17;-9.79423943013698e-19;-4.6878640305093e-19;-1.50137830358763e-18;-9.1250767242808e-20;-6.07063064705193e-19;-0.0642475863049474;-8.49802931514492e-19;1.81706895934537e-19;-1.00733934403047e-19;6.21172570112401e-19;-1.88408751168019e-19;-5.60855253418154e-20;0.0236475173937854;-1.82607669935765e-19;-4.66832550315542e-19;6.29568773170148e-20;-9.56454530268469e-19;2.69809429397402e-19;-9.71878101077564e-21;-0.0888987696079989;1.14126473282516e-19;-1.61602939455896e-18;-8.06901268752127e-19;-2.49921560058366e-18;-1.8711403009142e-19;-1.03821040988465e-18;-0.187039541997828;-1.46272814050415e-18;-3.81857088667832e-18;-2.45917063808911e-18;-4.32587699049613e-18;-1.04655697136877e-18;-2.9048332470669e-18;-0.323960029584484;-4.4579160226101e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITTHP";5.11451024876144e-19;-1.29117523621818e-36;1.28426464549396e-19;-2.46398449090575e-19;3.01085649679657e-20;6.94546306692104e-19;-0.0691944890925316;8.4899604343393e-18;6.8639699401927e-35;4.82772071724523e-18;-4.09015327394861e-18;1.13182079232948e-18;1.15292967983795e-17;1;-9.85311343328161e-19;-8.97716842401488e-36;-5.8855089982096e-19;4.74687066911639e-19;-1.37981085646084e-19;-1.33804474165662e-18;-0.0642475863049474;8.62679043069284e-19;4.41532956133676e-36;4.66727840918021e-19;-4.15607297544642e-19;1.09420636704e-19;1.17151108137783e-18;0.0236475173937852;-1.5069944772869e-18;-4.50091391094862e-36;-6.48845039527828e-19;7.26014972951657e-19;-1.52116567993288e-19;-2.04648616875581e-18;-0.0888987696079988;-1.50471831710498e-18;-7.73473855186642e-36;-9.59596597186861e-19;7.24918401996813e-19;-2.24969803465444e-19;-2.04339516185408e-18;-0.187039541997828;-1.55430213914707e-18;-1.69983265823805e-35;-8.56114782546214e-19;7.48806078933441e-19;-2.00709313619813e-19;-2.11072958645389e-18;-0.323960029584485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUICHA";0.01590980733177;8.62099221662172e-20;2.92500768663855e-20;-3.39483935599085e-19;1.18414512989866e-19;1.89982067516234e-19;-1.53967334189869e-19;-0.0642475863049472;5.51698934483465e-19;-2.99302198360217e-19;1.8114948435448e-19;1.07548865428816e-18;-9.79423943013697e-19;-9.85311343328161e-19;1;-5.09108195228878e-18;2.54160949952052e-18;-5.19478206914645e-18;-9.78071731944111e-18;1.23240709327477e-17;9.09246055024558e-18;-0.392229871018396;1.54115276652999e-18;-7.33455754157446e-19;2.11407544526973e-18;2.93731702207593e-18;-4.23576796467804e-18;-2.7524347207328e-18;-0.345292383794451;1.40247798457847e-18;-7.15541245665563e-19;1.79778971957001e-18;2.70441375397268e-18;-3.73705665337633e-18;-2.50476732978829e-18;0.00710299847725767;2.82551961101663e-19;3.41235204072838e-19;-6.46097281618496e-19;2.27866130798135e-19;1.87517566020571e-19;-5.04626046837928e-19;0.0471913652437876;-2.58452171659958e-19;3.50178522656328e-19;-5.28366139259877e-19;-6.40946275827441e-19;8.72471791618986e-19;4.61584825576614e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUIDIT";-1.3917794538291e-19;0.0159098073317699;1.58241611954657e-20;2.53233789877836e-20;5.87643187907116e-21;1.86206867059501e-19;-9.78865398213839e-37;3.50388411718588e-19;-0.0642475863049473;-7.42019708794251e-19;-6.37530502298019e-20;-2.75555096905056e-19;-4.6878640305093e-19;-8.97716842401488e-36;-5.09108195228878e-18;1;6.46539891960721e-18;9.26320599007087e-19;2.40097884828044e-18;6.8113839277532e-18;6.69285236870251e-35;1.82669388414531e-18;-0.392229871018396;-1.89489814054659e-18;-3.32366319933891e-19;-7.0368594601348e-19;-2.44394285536864e-18;-1.46384985201377e-35;1.59585693238789e-18;-0.345292383794451;-1.80774036761657e-18;-2.90365616462841e-19;-6.71319193107697e-19;-2.13510494667517e-18;-1.31029898276462e-35;-2.10145458865545e-19;0.00710299847725768;4.77189483029465e-19;3.82358935014662e-20;1.77208223285506e-19;2.81154657187083e-19;-1.10095227564082e-36;-3.97997894436475e-19;0.0471913652437877;7.1156911525565e-19;7.24155791309179e-20;2.64247019567083e-19;5.32483367356815e-19;7.52779652553795e-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUIGUI";-1.24719343634774e-19;-1.59882702345216e-19;0.0159098073317699;1.05568192272036e-19;1.51182900586897e-19;4.5333670141145e-20;-1.12557242701784e-19;-4.00510795353907e-19;-8.36011135955024e-19;-0.0642475863049475;6.45824220168588e-19;1.4109126321077e-18;-1.50137830358763e-18;-5.8855089982096e-19;2.54160949952052e-18;6.46539891960722e-18;1;-5.20178326819476e-18;-1.14582480456862e-17;1.54508033444758e-17;4.55163357063344e-18;-7.23167501702485e-19;-1.99258729915911e-18;-0.392229871018395;1.62557185146919e-18;3.45786340682047e-18;-5.17728223825047e-18;-1.40277921842777e-18;-5.34296464433726e-19;-1.5718038800875e-18;-0.345292383794451;1.29577316673672e-18;2.96308898094632e-18;-4.33376141789805e-18;-1.10654816447007e-18;-3.67955301847289e-19;-5.52800484589816e-19;0.00710299847725799;3.88594049811726e-19;2.04930738620004e-19;-2.80335626590794e-19;-3.89170919661413e-19;2.6465096425134e-19;6.19770940665093e-19;0.047191365243788;-4.90806720992494e-19;-1.16743494746232e-18;1.33593892506845e-18;4.36318045446406e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUILEP";2.8543700808488e-19;-1.56858654976989e-20;-4.14523803873212e-21;0.01590980733177;6.64611413433956e-20;1.21925047954898e-19;7.4175845799079e-20;7.39312455714584e-19;-1.0038143016585e-19;5.94161053350519e-19;-0.0642475863049474;6.93569204273348e-19;-9.12507672428081e-20;4.74687066911639e-19;-5.19478206914645e-18;9.26320599007087e-19;-5.20178326819476e-18;1;-6.27875761740264e-18;2.14659460558397e-18;-4.38041585416761e-18;1.32237078689075e-18;-2.80412212420128e-19;1.52882166395849e-18;-0.392229871018396;1.88086907596806e-18;-8.50324817480874e-19;1.32602265598322e-18;1.26161820391673e-18;-2.55180383844527e-19;1.45260311541762e-18;-0.345292383794451;1.73813932285063e-18;-7.2713506065841e-19;1.20670554046114e-18;7.19978630029459e-19;-5.14102315207587e-20;-3.26640935018544e-19;0.00710299847725769;8.2527899494018e-20;2.26852913573071e-19;2.4311042360641e-19;-1.41455141286331e-19;4.70252831736689e-20;-5.46230289609174e-19;0.0471913652437879;-4.40689912673653e-19;2.06966699271584e-19;-2.22374733090747e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUIRHI";-1.40559932796555e-19;-5.9373751149774e-20;1.0412361926103e-19;-6.45625986516797e-20;0.0159098073317703;1.97716054904489e-19;-2.63881518999395e-20;8.20465656398793e-19;-3.10459583285368e-19;1.38573906219787e-18;5.56519113957875e-19;-0.0642475863049473;-6.07063064705193e-19;-1.37981085646084e-19;-9.78071731944111e-18;2.40097884828044e-18;-1.14582480456862e-17;-6.27875761740264e-18;1;8.31910158666334e-18;1.06709435280826e-18;3.38607362297245e-18;-7.39963615257313e-19;3.43169947955549e-18;2.14874681016348e-18;-0.392229871018396;-2.95603878568217e-18;-3.28870450354099e-19;2.8945178388347e-18;-5.83702245856854e-19;3.02627946376487e-18;1.82345845156332e-18;-0.345292383794452;-2.56757500304212e-18;-2.59421431688762e-19;-9.49189754842582e-20;-2.05286988061053e-19;-7.09297865312138e-20;1.57175280625405e-21;0.00710299847725782;2.71051568348896e-19;-9.12380322808141e-20;-8.07686757128168e-19;2.30157015494131e-19;-1.19202110213043e-18;-5.27215438124514e-19;0.047191365243788;6.60440195122894e-19;1.02291301595132e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUISKE";-6.17614493043289e-20;-1.15340684702955e-19;-1.21283460616293e-19;-9.95917062466049e-20;-1.29813201635933e-19;0.0159098073317697;-2.09086379949486e-19;-1.20427463939277e-18;-7.38120755178541e-19;-1.72070021056661e-18;-2.89103713252705e-19;-9.05158609609854e-19;-0.0642475863049474;-1.33804474165662e-18;1.23240709327477e-17;6.8113839277532e-18;1.54508033444758e-17;2.14659460558397e-18;8.31910158666335e-18;1;1.23474870256561e-17;-3.91683719911813e-18;-2.06191597042263e-18;-4.60744629137275e-18;-5.69687965759338e-19;-2.51282993895371e-18;-0.392229871018395;-3.73778382819549e-18;-3.52106500781896e-18;-1.87638228822675e-18;-4.28621860918666e-18;-5.37077462104181e-19;-2.29407800774237e-18;-0.345292383794451;-3.4014535378999e-18;-3.62793249640036e-19;-3.78027677542648e-19;7.88944845668897e-20;-2.57382260491043e-19;-3.87925538059191e-19;0.00710299847725789;-6.85278042363473e-19;7.16608339912248e-19;3.45784449088693e-19;1.21375205577071e-18;6.98177217853875e-20;4.56155832268177e-19;0.0471913652437879;6.26828416087338e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
