"B.SKESKE";"B.SKECHA";"B.SKEGUI";"B.SKELEP";"B.SKERHI";"B.CHASKE";"B.CHACHA";"B.CHAGUI";"B.CHALEP";"B.CHARHI";"B.GUISKE";"B.GUICHA";"B.GUIGUI";"B.GUILEP";"B.GUIRHI";"B.LEPSKE";"B.LEPCHA";"B.LEPGUI";"B.LEPLEP";"B.LEPRHI";"B.RHISKE";"B.RHICHA";"B.RHIGUI";"B.RHILEP";"B.RHIRHI";"B.ASTAST";"B.ASTNIT";"B.ASTPSE";"B.NITAST";"B.NITNIT";"B.NITPSE";"B.PSEAST";"B.PSENIT";"B.PSEPSE";"B.GYMGYM";"B.GYMPRP";"B.PRPGYM";"B.PRPPRP";"B.CRYCRY";"B.CRYEUG";"B.EUGCRY";"B.EUGEUG"
"B.GUISKE";0.0833337585617534;-1.12058532902167e-18;9.8071975046739e-19;-5.16927530756608e-20;-1.21373283002983e-18;-0.1077072549021;1.4727287364061e-18;-1.81358704553622e-18;-2.50318474256715e-18;7.92521878822357e-19;1;-4.96941380233804e-18;8.50577753298416e-18;2.01398350314267e-17;9.76113255560954e-19;-0.0784443238128202;5.24102904646061e-19;-7.34239686403884e-19;-1.32613912776776e-18;1.46140889354046e-19;-0.167057338403121;9.75713025077549e-19;-1.30770026467829e-18;-2.17864500130593e-18;3.62660902774879e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUICHA";4.94222785298295e-19;0.0833337585617533;-3.26002518659286e-19;6.55637985790159e-21;-1.35656635390896e-18;2.54393195667694e-19;-0.107707254902101;-1.40108458545464e-18;3.17488023954805e-19;2.24359788015495e-18;-4.96941380233804e-18;1;1.30483126646199e-17;-2.55440851734573e-18;-9.66593761865854e-18;2.4357821194936e-19;-0.0784443238128201;-8.0837153673739e-19;1.68199048198233e-19;8.76441676810991e-19;3.51438457691778e-19;-0.16705733840312;-1.29843001244769e-18;2.76325468352873e-19;1.5796527384792e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUIGUI";9.13786224631315e-20;1.9706581333847e-18;0.0833337585617535;1.25220912916799e-20;5.20556861635049e-20;-1.14259964184444e-18;-3.13386216601502e-18;-0.107707254902101;6.06373350254516e-19;7.17755219072416e-19;8.50577753298416e-18;1.30483126646199e-17;1;-4.87868874953874e-18;-5.99738241996145e-18;-5.79743220586339e-19;-1.20734774817076e-18;-0.0784443238128192;3.21244937352658e-19;3.88538110639612e-19;-9.63886629473074e-19;-2.18630444302081e-18;-0.167057338403121;5.27756599819437e-19;6.34598912486521e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUILEP";2.59018900277788e-18;-3.28523090676098e-19;-6.27449327529879e-19;0.0833337585617533;4.33445687380248e-21;-4.49642369711636e-18;5.70297769151866e-19;1.08921705019185e-18;-0.107707254902101;-7.52437547244344e-21;2.01398350314267e-17;-2.55440851734573e-18;-4.87868874953874e-18;1;3.37022689446968e-20;-1.78508719790049e-18;2.26409100938838e-19;4.324208622242e-19;-0.0784443238128199;-2.9871887599625e-21;-3.19997971940301e-18;4.05865064824098e-19;7.75165488269526e-19;-0.167057338403121;-5.35488880383622e-21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUIRHI";1.33676560734203e-18;1.38237288326636e-19;-8.07987040980746e-19;-8.65033434449339e-23;0.0833337585617532;-1.131770466065e-18;1.11580295045969e-18;1.36663765392114e-18;-4.18886278267016e-21;-0.107707254902101;9.76113255560954e-19;-9.66593761865854e-18;-5.99738241996145e-18;3.37022689446968e-20;1;-2.96932057841577e-19;6.16764177880025e-19;5.37944854139768e-19;-2.21917892933945e-21;-0.0784443238128201;-6.23345604431043e-19;1.0017711383014e-18;9.67085971883892e-19;-3.64577364484155e-21;-0.167057338403121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.LEPSKE";0.277849888734538;2.74520541491591e-19;3.12339571893598e-19;2.72060125990273e-18;1.14267537881937e-18;-0.357894903957092;1.0871679742598e-18;-1.236020409198e-18;-1.34424135250034e-18;7.42250824857171e-19;-0.0784443238128202;2.43578211949361e-19;-5.79743220586339e-19;-1.78508719790049e-18;-2.96932057841577e-19;1;-3.77640360021749e-18;6.46379033339862e-18;1.53048525531689e-17;7.41777151016502e-19;-0.283663278181544;1.35572732976738e-18;-2.12800494707346e-18;-4.55114367817054e-18;2.81693456245001e-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.LEPCHA";-1.0730998235765e-18;0.277849888734538;2.0067511343519e-18;-3.4506375150307e-19;-1.52916747290141e-19;1.07399808234424e-20;-0.357894903957092;-6.75927234973921e-19;1.70495019191424e-19;1.5659793621325e-18;5.24102904646061e-19;-0.0784443238128201;-1.20734774817076e-18;2.26409100938838e-19;6.16764177880025e-19;-3.77640360021749e-18;1;9.91579628572098e-18;-1.94117010678243e-18;-7.3454300797824e-18;1.0240956375214e-18;-0.283663278181545;-2.88854842940832e-18;5.77238103343071e-19;2.46797350549108e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.LEPGUI";1.05452943641251e-18;9.00982274841241e-20;0.277849888734538;-6.59040490548057e-19;-8.4075595199138e-19;-6.43187318127496e-19;-2.20687682295332e-18;-0.357894903957092;3.25630033854529e-19;3.75858703340616e-19;-7.34239686403884e-19;-8.0837153673739e-19;-0.0784443238128192;4.324208622242e-19;5.37944854139768e-19;6.46379033339861e-18;9.91579628572098e-18;1;-3.70745896617232e-18;-4.55758716490216e-18;-1.94536175829545e-18;-3.36021156498332e-18;-0.283663278181544;1.10247245946047e-18;1.34774243712134e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.LEPLEP";5.15847874829877e-19;-6.54268618915674e-20;-1.24959376255015e-19;0.277849888734538;8.63226723800758e-22;-3.10531466649413e-18;3.93858351905742e-19;7.52233754822834e-19;-0.357894903957091;-5.19647503987929e-21;-1.32613912776776e-18;1.68199048198233e-19;3.21244937352658e-19;-0.0784443238128199;-2.21917892933945e-21;1.53048525531689e-17;-1.94117010678243e-18;-3.70745896617232e-18;1;2.56113446858401e-20;-5.09370456180623e-18;6.46053073285723e-19;1.23390281501218e-18;-0.283663278181545;-8.52387324915747e-21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.LEPRHI";-9.85815062117088e-19;-1.40038869902911e-18;-1.2301674592083e-19;4.55269048676148e-21;0.277849888734538;-9.57906544217546e-19;5.69546119740351e-19;9.49161536562554e-19;-2.24947143399416e-21;-0.357894903957092;1.46140889354045e-19;8.76441676810991e-19;3.88538110639612e-19;-2.9871887599625e-21;-0.07844432381282;7.41777151016502e-19;-7.3454300797824e-18;-4.55758716490216e-18;2.561134468584e-20;1;-4.9562422796214e-19;2.16098702390606e-18;1.5243686396264e-18;-7.61594461962159e-21;-0.283663278181544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
