"B.SKESKE";"B.SKECHA";"B.SKEGUI";"B.SKELEP";"B.SKERHI";"B.CHASKE";"B.CHACHA";"B.CHAGUI";"B.CHALEP";"B.CHARHI";"B.GUISKE";"B.GUICHA";"B.GUIGUI";"B.GUILEP";"B.GUIRHI";"B.LEPSKE";"B.LEPCHA";"B.LEPGUI";"B.LEPLEP";"B.LEPRHI";"B.RHISKE";"B.RHICHA";"B.RHIGUI";"B.RHILEP";"B.RHIRHI";"B.ASTAST";"B.ASTNIT";"B.ASTPSE";"B.NITAST";"B.NITNIT";"B.NITPSE";"B.PSEAST";"B.PSENIT";"B.PSEPSE";"B.GYMGYM";"B.GYMPRP";"B.PRPGYM";"B.PRPPRP";"B.CRYCRY";"B.CRYEUG";"B.EUGCRY";"B.EUGEUG"
"B.GUISKE";-0.141267917213394;2.10287345898601e-19;-5.16002336667479e-20;-1.34142349764731e-19;5.02974239970369e-20;-0.158028688780258;9.20400421514969e-19;-1.31365627734828e-19;-3.41504150862496e-19;1.2804889062108e-19;1;-5.02857760973214e-18;7.72882769554352e-19;2.00922173086022e-18;-7.53368920988635e-19;-0.11727191439533;2.17907181397015e-19;-5.12248892619472e-20;-1.33166587120782e-19;4.99315563384701e-20;-0.256491876347579;9.39919046725742e-19;-1.5298773088017e-19;-3.97713968467264e-19;1.49125075985522e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUICHA";9.80061398540484e-19;-0.141267917213395;-1.56021503244804e-19;5.64059472851641e-20;2.57954676622518e-19;9.70327156141906e-19;-0.158028688780257;-4.38886429349566e-19;1.58669185229057e-19;7.25623100677628e-19;-5.02857760973215e-18;1;2.48012418178983e-18;-8.96631239600351e-19;-4.10045806502375e-18;5.98834364187127e-19;-0.117271914395331;-1.04140656628312e-19;3.76496333252359e-20;1.72178634644118e-19;1.2265400226064e-18;-0.256491876347579;-6.48457721556841e-19;2.34434813779497e-19;1.07211312792643e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUIGUI";-1.34262890900794e-19;-4.89230296752068e-19;-0.141267917213395;1.15234460752567e-37;1.3094607947565e-36;-1.47152815660569e-19;-2.52022557406658e-19;-0.158028688780258;-4.20885493905501e-39;1.51989396776951e-36;7.72882769554352e-19;2.48012418178983e-18;1;-6.83384328976578e-37;-1.08302259598509e-35;-8.24774610658178e-20;-4.6206441519367e-19;-0.11727191439533;1.48989325979525e-37;1.1226846020184e-36;-1.90693322649431e-19;-6.34020265976653e-19;-0.256491876347579;2.70953545726023e-37;2.72266232674981e-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUILEP";-3.49036009952115e-19;1.76869840086107e-19;1.15234460752567e-37;-0.141267917213394;-2.97826761099625e-37;-3.82545253470933e-19;9.11128965694398e-20;-4.20885493905372e-39;-0.158028688780258;-2.04115634191611e-37;2.00922173086022e-18;-8.96631239600351e-19;-6.83384328976578e-37;1;2.1865015625932e-36;-2.14412215678156e-19;1.6704864716545e-19;1.48989325979521e-37;-0.11727191439533;-3.06851028615728e-37;-4.95735165655326e-19;2.29215287358769e-19;2.70953545726024e-37;-0.256491876347578;-6.51424483555772e-37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUIRHI";1.30873003295273e-19;8.0885801231262e-19;1.30946079475651e-36;-2.97826761099625e-37;-0.141267917213395;1.43437481493559e-19;4.16675880858622e-19;1.51989396776952e-36;-2.04115634191611e-37;-0.158028688780258;-7.53368920988635e-19;-4.10045806502375e-18;-1.08302259598509e-35;2.1865015625932e-36;1;8.03950589878791e-20;7.63943907225657e-19;1.12268460201839e-36;-3.0685102861573e-37;-0.11727191439533;1.8587867188057e-19;1.04824328237318e-18;2.7226623267498e-36;-6.51424483555768e-37;-0.25649187634758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.LEPSKE";0.180402453822293;-6.23104967723903e-19;9.90424247064498e-20;2.57475259944052e-19;-9.65417881889381e-20;-0.435739851868873;7.53132556433041e-19;-1.45142527433647e-19;-3.77319215383482e-19;1.41477949295338e-19;-0.11727191439533;5.98834364187126e-19;-8.24774610658178e-20;-2.14412215678156e-19;8.03950589878791e-20;1;-4.22975662736231e-18;6.64449509987694e-19;1.7273336230493e-18;-6.47673399006541e-19;-0.202637565812548;1.50103051413258e-18;-2.20679868379929e-19;-5.73689574381364e-19;2.15108113253919e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.LEPCHA";-5.72702470373743e-19;0.180402453822293;2.7397006388111e-19;-9.90475072961173e-20;-4.52962301752823e-19;1.87189676465017e-18;-0.435739851868873;-5.83801334850533e-19;2.11059800307907e-19;9.65214931347475e-19;2.17907181397015e-19;-0.117271914395331;-4.62064415193671e-19;1.6704864716545e-19;7.63943907225657e-19;-4.22975662736231e-18;1;2.37296582304381e-18;-8.57890626230478e-19;-3.92329017981013e-18;6.45081969574042e-19;-0.202637565812548;-5.66889852074267e-19;2.04945846871019e-19;9.37254708044707e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.LEPGUI";8.75986848812937e-20;3.72754115179386e-19;0.180402453822293;-8.16834458837047e-38;-9.35569176460976e-37;-2.70732234472923e-19;-9.59086369976794e-19;-0.435739851868872;2.23515362664013e-37;2.04702811585028e-36;-5.12248892619473e-20;-1.04140656628312e-19;-0.11727191439533;1.48989325979521e-37;1.12268460201839e-36;6.64449509987694e-19;2.37296582304381e-18;1;-8.94728805835337e-37;-9.82690942601779e-36;-1.11586836320201e-19;-5.39842569004362e-19;-0.202637565812548;1.97777195245926e-37;2.55643176175936e-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.LEPLEP";2.27725585550001e-19;-1.34760584495501e-19;-8.16834458837036e-38;0.180402453822293;2.12123028683571e-37;-7.03808016138067e-19;3.46735380070967e-19;2.23515362664011e-37;-0.435739851868873;-5.10089860962757e-37;-1.33166587120782e-19;3.76496333252359e-20;1.48989325979525e-37;-0.11727191439533;-3.0685102861573e-37;1.7273336230493e-18;-8.57890626230478e-19;-8.94728805835336e-37;1;2.2657849841985e-36;-2.90086291536512e-19;1.95167530476679e-19;1.9777719524592e-37;-0.202637565812549;-5.5353646915975e-37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.LEPRHI";-8.53869814526935e-20;-6.16284712306241e-19;-9.35569176460976e-37;2.12123028683572e-37;0.180402453822292;2.6389675044679e-19;1.58568408376535e-18;2.04702811585029e-36;-5.10089860962763e-37;-0.435739851868873;4.993155633847e-20;1.72178634644117e-19;1.1226846020184e-36;-3.06851028615728e-37;-0.11727191439533;-6.47673399006541e-19;-3.92329017981013e-18;-9.82690942601778e-36;2.2657849841985e-36;1;1.08769476803782e-19;8.92536685126617e-19;2.55643176175934e-36;-5.53536469159751e-37;-0.202637565812548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
