"B.CHACHA";"B.CHADIT";"B.CHAGUI";"B.CHALEP";"B.CHARHI";"B.CHASKE";"B.CHATHP";"B.DITCHA";"B.DITDIT";"B.DITGUI";"B.DITLEP";"B.DITRHI";"B.DITSKE";"B.DITTHP";"B.GUICHA";"B.GUIDIT";"B.GUIGUI";"B.GUILEP";"B.GUIRHI";"B.GUISKE";"B.GUITHP";"B.LEPCHA";"B.LEPDIT";"B.LEPGUI";"B.LEPLEP";"B.LEPRHI";"B.LEPSKE";"B.LEPTHP";"B.RHICHA";"B.RHIDIT";"B.RHIGUI";"B.RHILEP";"B.RHIRHI";"B.RHISKE";"B.RHITHP";"B.SKECHA";"B.SKEDIT";"B.SKEGUI";"B.SKELEP";"B.SKERHI";"B.SKESKE";"B.SKETHP";"B.THPCHA";"B.THPDIT";"B.THPGUI";"B.THPLEP";"B.THPRHI";"B.THPSKE";"B.THPTHP";"B.NITNIT";"B.NITPLE";"B.NITPSE";"B.NITTHL";"B.PLENIT";"B.PLEPLE";"B.PLEPSE";"B.PLETHL";"B.PSENIT";"B.PSEPLE";"B.PSEPSE";"B.PSETHL";"B.THLNIT";"B.THLPLE";"B.THLPSE";"B.THLTHL";"B.GYMGYM";"B.GYMPRO";"B.GYMPRP";"B.PROGYM";"B.PROPRO";"B.PROPRP";"B.PRPGYM";"B.PRPPRO";"B.PRPPRP"
"B.DITLEP";-2.11186362446258e-21;-2.90630682739948e-20;-1.3574351650992e-19;-0.0794060031421124;-6.20688335398885e-20;2.44631458961521e-19;2.89950302864846e-19;1.74506551700585e-20;-1.88400525032787e-18;1.35355369576379e-18;1;5.12884354068073e-19;-2.6232838836119e-18;-2.39590411669504e-18;-7.05604370334272e-22;-4.30691253470163e-19;1.61125044859956e-19;-0.0654118776810913;-2.07381005572462e-20;-3.75452867110134e-20;9.68766157583914e-20;2.95294184269379e-21;-1.61300602267385e-19;1.49863303218242e-19;0.164553764291225;8.67885850033392e-20;-3.99276237474962e-19;-4.05426928004985e-19;-1.41492051680923e-22;1.09048458650446e-18;-4.79023144747646e-19;-0.0826413816044903;-4.15852922569025e-21;3.25918304606709e-19;1.94262843313513e-20;-1.02044081767324e-21;3.74948820421452e-19;-2.53946588218227e-19;-0.181417900473532;-2.99913169182905e-20;2.28421080432433e-19;1.4010238194964e-19;-4.80968363016553e-21;-3.63894373810559e-19;1.01896298998635e-19;-0.249321672977204;-1.4135924742595e-19;4.72786995873096e-19;6.60350038277423e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITRHI";8.31561711568274e-37;3.51488475164097e-19;-2.70595677995491e-19;-3.56692583895559e-20;-0.0794060031421123;3.67689684234835e-19;1.41573856577073e-36;9.37731396672193e-37;-5.05401423203389e-18;2.45640987010721e-18;5.12884354068073e-19;1;-5.28696964026295e-18;-6.56979457992842e-36;4.42567076094032e-37;-3.0858786868851e-19;1.0587516474404e-19;3.13156794657181e-20;-0.0654118776810914;-3.22811653906453e-19;-4.80250544620096e-37;-3.53636919950368e-37;-6.95831676079263e-19;3.40394081009627e-19;7.06134101214029e-20;0.164553764291225;-7.27904746062395e-19;-8.78404240531746e-37;-2.46874228866607e-37;1.12907115105406e-18;-4.64857812971845e-19;-1.14578808333156e-19;-0.0826413816044903;1.18111359075403e-18;8.17894897187362e-37;4.05496814721691e-37;5.63490335559831e-19;-3.09807316659588e-19;-5.7183332596374e-20;-0.181417900473532;5.89463377012983e-19;-1.5621521361605e-37;1.14824995342689e-37;4.99229052174266e-19;-2.25517286555141e-19;-5.06620595433847e-20;-0.249321672977203;5.22240089007505e-19;5.16259316512213e-37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITSKE";2.25645830209145e-19;4.95103077798704e-19;1.15468928717388e-18;2.55276092009433e-19;6.39824623093046e-19;-0.0794060031421124;-1.63920523793248e-20;-1.86454633146276e-18;-5.1667946803256e-18;-1.02438578543113e-17;-2.6232838836119e-18;-5.28696964026295e-18;1;1.35450059505583e-19;7.53915556378773e-20;-4.77651426008827e-20;-2.39719841141592e-19;-1.65565630688355e-20;2.13774717776498e-19;-0.0654118776810916;-5.47682324920178e-21;-3.15512330406052e-19;-7.94546945354025e-19;-1.49355775427093e-18;-4.05798266716859e-19;-8.94643422819513e-19;0.164553764291225;2.29204086844643e-20;1.51179702608216e-20;5.86382794130539e-19;1.50098926240942e-18;2.81395491438172e-19;4.28673980595861e-20;-0.0826413816044904;-1.09824568951604e-21;1.09030816581147e-19;4.36218041919355e-19;1.12855545568602e-18;2.17456925627749e-19;3.09159717509078e-19;-0.181417900473532;-7.92054900683174e-21;5.13899213566982e-19;9.76818517940626e-19;1.38451121489457e-18;5.09357216340267e-19;1.45717459225168e-18;-0.249321672977204;-3.7332233521337e-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITTHP";-2.8407755855072e-36;4.24646865075968e-20;3.24982958708306e-19;1.6662649647459e-19;1.41573856577072e-36;-9.42006347642273e-21;-0.0794060031421124;1.41459947420305e-35;-6.10595069633667e-19;-2.95012600829875e-18;-2.39590411669504e-18;-6.56979457992842e-36;1.35450059505583e-19;1;1.10917938267088e-36;-3.72816977791017e-20;-1.27155114032605e-19;-1.46289050843335e-19;-4.80250544620077e-37;8.27030618782783e-21;-0.0654118776810916;1.79517294784309e-36;-8.40661247085457e-20;-4.08810208621098e-19;-3.29865706882708e-19;-8.78404240531747e-37;1.86486300994993e-20;0.164553764291225;-1.78721369439087e-36;1.36407466708256e-19;5.58290023541251e-19;5.35247052077134e-19;8.17894897187359e-37;-3.02596604550448e-20;-0.0826413816044904;4.1331442129401e-37;6.80774538580178e-20;3.7207578163607e-19;2.67128019966485e-19;-1.56215213616038e-37;-1.51018172838988e-20;-0.181417900473532;-1.07374575075528e-36;6.03137988697003e-20;2.70844218826662e-19;2.36664339743405e-19;5.16259316512213e-37;-1.33795833805375e-20;-0.249321672977204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUICHA";-0.0651210239854407;8.09640267756887e-21;2.05846550928479e-19;-3.85193214212378e-22;-1.51753299668484e-37;4.11566550060741e-20;-1.56860818977452e-36;-0.0654118776810913;1.48311468179934e-20;1.66473492430549e-19;-7.05604370334272e-22;4.42567076094033e-37;7.53915556378773e-20;1.10917938267088e-36;1;-4.7893615975452e-19;-5.53556535687599e-18;2.27857934103866e-20;3.18694248054823e-36;-2.43458867869326e-18;2.04662076690794e-35;-0.292970683857362;1.10228544250205e-19;1.04874711073565e-18;-5.24421634503473e-21;-1.08269233637666e-36;5.6032763539495e-19;-3.59329937080142e-36;-0.222438563327314;9.82105248046637e-20;1.35824457075936e-18;-4.67244889187684e-21;5.27032405515895e-37;4.99236123537867e-19;-4.13312066040637e-36;0.17938309276314;-6.65728368263274e-20;-9.15664173019684e-19;3.16725909241342e-21;-1.3632803586588e-37;-3.38411438653836e-19;3.70999184777897e-37;-0.0264193416320137;-1.11931644149865e-20;5.42967139464127e-20;5.3252427651128e-22;9.12821330943162e-37;-5.68985047557189e-20;-6.07503412257397e-37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUIDIT";6.39561584126862e-20;-0.0651210239854404;6.28775619639475e-19;8.02152795914593e-19;8.81238821848768e-19;4.99201898609802e-19;1.06465881393867e-19;-2.23958524349514e-20;-0.0654118776810917;-3.6599774150213e-19;-4.30691253470164e-19;-3.0858786868851e-19;-4.77651426008829e-20;-3.72816977791018e-20;-4.7893615975452e-19;1;-2.26722587522089e-18;-2.45999671643907e-18;-6.5991633587412e-18;-6.74642384669783e-18;-7.9727053101965e-19;1.35193980493949e-19;-0.292970683857363;9.5406882956991e-19;9.06095892669896e-19;1.86281019761658e-18;1.7248460151862e-18;2.25053327930631e-19;7.9534069652188e-20;-0.222438563327313;1.08176252155955e-19;2.50154300994227e-19;1.09588367370153e-18;1.2546455092138e-18;1.3239795879738e-19;-2.14975437745346e-20;0.17938309276314;3.06052984095551e-19;2.71786006847155e-19;-2.96210257443399e-19;-6.2696815592402e-19;-3.57863105377673e-20;9.48456568763853e-21;-0.0264193416320137;7.87167537909254e-20;2.24048324763284e-19;1.3068589014352e-19;-1.50966962133999e-20;1.57886694672426e-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUIGUI";6.45128416659207e-19;-2.98805008808483e-19;-0.0651210239854399;-3.45680524716586e-19;-3.54433060148717e-19;1.18282655419072e-18;4.25670895427564e-19;-1.92710796690907e-19;2.92781617154655e-19;-0.0654118776810914;1.61125044859956e-19;1.0587516474404e-19;-2.39719841141593e-19;-1.27155114032605e-19;-5.53556535687599e-18;-2.26722587522089e-18;1;1.59257659835724e-18;3.04123538574058e-18;-1.28461490464773e-17;-3.6524961562869e-18;1.63062060409875e-18;3.03841969036472e-19;-0.292970683857364;-5.72623164341181e-19;-8.95861716408579e-19;3.58090955734913e-18;1.07592180831808e-18;9.94068289643798e-19;5.511349616799e-19;-0.222438563327313;-2.45054185264351e-19;-5.46140360270897e-19;2.38726948364022e-18;6.55909626737702e-19;-2.31061190976386e-19;-6.44236640424395e-19;0.179383092763138;-8.97824170542087e-20;1.26944842119137e-19;-8.43010421531368e-19;-1.52459605749222e-19;2.64824605523489e-19;-2.93937464451553e-19;-0.0264193416320134;-1.90598203361082e-19;-1.4549443632391e-19;3.89938534370681e-19;1.74737500400617e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUILEP";-3.04276840082476e-21;-4.32063672170208e-19;9.55770510341068e-20;-0.0651210239854399;-8.94286369553264e-20;2.41908582934989e-19;4.17759749799765e-19;1.06550164659495e-21;3.91836072879743e-19;-1.71337641671374e-19;-0.0654118776810913;3.13156794657181e-20;-1.65565630688355e-20;-1.46289050843335e-19;2.27857934103866e-20;-2.45999671643907e-18;1.59257659835724e-18;1;6.69687001509609e-19;-3.42529286415192e-18;-3.12839693994852e-18;-6.43196811750834e-21;3.54486739721555e-19;-1.52593026549344e-19;-0.292970683857363;-1.89039080836049e-19;8.70578143001956e-19;8.83083112984229e-19;-3.78390072094563e-21;6.62808961067186e-19;-5.18173713454408e-19;-0.222438563327314;-1.11210923498718e-19;6.40868733245677e-19;5.19514208843799e-19;1.02276385129983e-21;-7.24148691687459e-19;4.57077270296936e-19;0.179383092763139;3.0059592154344e-20;-3.27641108438559e-19;-1.40421325036581e-19;-4.51236245048921e-22;-2.32824332114957e-19;4.36388953891408e-22;-0.0264193416320136;-1.32620814415665e-20;-1.19389360138968e-20;6.19529047235843e-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUIRHI";-1.5175329966848e-37;1.11558676034839e-19;-1.1309193810506e-19;-1.13210404387389e-20;-0.0651210239854404;1.16700766207927e-19;7.2398987600815e-37;4.4256707609403e-37;2.04355337670844e-19;-9.14604097915185e-20;-2.07381005572462e-20;-0.0654118776810914;2.13774717776497e-19;-4.80250544620076e-37;3.18694248054824e-36;-6.5991633587412e-18;3.04123538574058e-18;6.69687001509609e-19;1;-6.90333954891925e-18;-9.33207471665449e-36;-1.08269233637662e-36;1.51881655934307e-18;-5.76180862881636e-19;-1.54130402927867e-19;-0.292970683857363;1.58882359045988e-18;1.58900313883555e-36;5.2703240551586e-37;1.35322272819383e-18;-7.46218531401203e-19;-1.37325842982562e-19;-0.222438563327314;1.41559701892555e-18;1.99525202104393e-36;-1.36328035865834e-37;-9.17293498358809e-19;5.03065198387239e-19;9.30874868564166e-20;0.17938309276314;-9.59574440114291e-19;-1.87513373751543e-37;9.12821330943153e-37;-1.54228322441978e-19;-2.98305732364182e-20;1.56511813982022e-20;-0.0264193416320138;-1.61337190792059e-19;3.72232048182125e-37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.GUISKE";3.25110008991691e-19;5.15749899149833e-19;7.81630135915617e-19;2.73402525486674e-19;9.21857890190495e-19;-0.06512102398544;-2.3617632515057e-20;-1.13845421101144e-19;-5.87933398358023e-20;1.43960169774625e-19;-3.7545286711013e-20;-3.22811653906452e-19;-0.0654118776810916;8.27030618782783e-21;-2.43458867869326e-18;-6.74642384669783e-18;-1.28461490464773e-17;-3.42529286415192e-18;-6.90333954891925e-18;1;1.7686081371972e-19;6.87235088924481e-19;1.73224182361763e-18;2.72658395113107e-18;8.84653750825359e-19;1.94867297720444e-18;-0.292970683857364;-4.99242266702588e-20;4.042976117002e-19;1.24911276053129e-18;2.90186786884046e-18;6.3033887685979e-19;1.14639639821278e-18;-0.222438563327313;-2.9370219789495e-20;-1.09279025246326e-19;-6.13614965170751e-19;-1.74474823326581e-18;-3.02227486928915e-19;-3.09863519637828e-19;0.179383092763139;7.93858013746164e-21;4.82131402592e-20;-8.97108602405619e-21;1.57531215749973e-19;-2.80753206232155e-22;1.36709613760125e-19;-0.0264193416320135;-3.50244593382501e-21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
